city,country,continent,avg_cost,climate,activities,best_months,avg_temp_range,popularity,safety_rating
Paris,France,Europe,1500,mild,"culture|food|nightlife|museums|shopping","Apr|May|Jun|Sep|Oct",5-25°C,9,8
Reykjavik,Iceland,Europe,2000,cold,"nature|hiking|adventure|northern_lights|hot_springs","Jun|Jul|Aug",-2-15°C,7,9
Rome,Italy,Europe,1200,warm,"culture|history|food|museums|architecture","Apr|May|Sep|Oct",8-30°C,9,7
Barcelona,Spain,Europe,1100,warm,"beach|nightlife|culture|food|architecture","May|Jun|Jul|Aug|Sep",10-28°C,9,7
Innsbruck,Austria,Europe,1300,cold,"skiing|hiking|nature|mountains","Dec|Jan|Feb|Jul|Aug",-5-20°C,6,9
Amsterdam,Netherlands,Europe,1400,mild,"culture|museums|nightlife|biking|canals","Apr|May|Jun|Sep",3-22°C,8,8
Prague,Czech Republic,Europe,900,mild,"culture|history|nightlife|architecture|food","Apr|May|Jun|Sep",-2-24°C,8,8
Santorini,Greece,Europe,1600,warm,"beach|relaxation|food|photography|romance","May|Jun|Sep|Oct",12-29°C,8,8
Dubrovnik,Croatia,Europe,1000,warm,"beach|history|culture|sailing","May|Jun|Sep",8-28°C,7,8
Edinburgh,Scotland,Europe,1300,cool,"culture|history|festivals|hiking","Jun|Jul|Aug",4-19°C,7,9
Tokyo,Japan,Asia,1800,mild,"culture|food|shopping|technology|temples","Mar|Apr|Oct|Nov",5-30°C,9,9
Bangkok,Thailand,Asia,800,tropical,"food|nightlife|temples|shopping|massage","Nov|Dec|Jan|Feb",22-35°C,9,7
Bali,Indonesia,Asia,900,tropical,"beach|surfing|yoga|culture|nature","Apr|May|Jun|Sep",24-31°C,9,7
Dubai,UAE,Asia,2000,hot,"shopping|luxury|desert|architecture|food","Nov|Dec|Jan|Feb|Mar",15-42°C,8,9
Seoul,South Korea,Asia,1200,mild,"food|shopping|culture|technology|nightlife","Apr|May|Sep|Oct",-5-30°C,8,8
Singapore,Singapore,Asia,1700,tropical,"food|shopping|culture|gardens|nightlife","Feb|Mar|Apr|Jul",24-32°C,8,9
Kathmandu,Nepal,Asia,700,mild,"hiking|trekking|culture|temples|mountains","Oct|Nov|Mar|Apr",2-30°C,6,6
New York,USA,North America,2200,mild,"culture|museums|food|shopping|nightlife","Apr|May|Jun|Sep|Oct",-3-29°C,9,7
Cancun,Mexico,North America,1300,tropical,"beach|diving|nightlife|ruins|relaxation","Dec|Jan|Feb|Mar|Apr",23-33°C,8,6
Rio de Janeiro,Brazil,South America,1100,tropical,"beach|nightlife|culture|carnival|hiking","Dec|Jan|Feb|Mar",21-30°C,8,5
Buenos Aires,Argentina,South America,1000,mild,"culture|food|tango|nightlife|wine","Oct|Nov|Mar|Apr",8-28°C,7,6
Vancouver,Canada,North America,1800,mild,"nature|hiking|skiing|food|biking","Jun|Jul|Aug|Sep",3-22°C,7,9
Cape Town,South Africa,Africa,1100,mild,"nature|wine|beach|safari|hiking","Nov|Dec|Jan|Feb|Mar",8-27°C,8,6
Marrakech,Morocco,Africa,900,hot,"culture|food|shopping|desert|history","Mar|Apr|May|Oct|Nov",8-37°C,7,7
Cairo,Egypt,Africa,800,hot,"history|culture|pyramids|museums|desert","Oct|Nov|Feb|Mar",14-35°C,7,6
Sydney,Australia,Oceania,2000,mild,"beach|culture|food|surfing|nightlife","Sep|Oct|Nov|Mar|Apr",12-26°C,8,9
Auckland,New Zealand,Oceania,1800,mild,"nature|hiking|adventure|sailing|wine","Dec|Jan|Feb|Mar",11-23°C,7,9
Queenstown,New Zealand,Oceania,1900,cool,"skiing|adventure|hiking|bungee|nature","Jun|Jul|Aug|Dec|Jan",2-22°C,7,9
Lisbon,Portugal,Europe,1000,warm,"culture|food|nightlife|beach|history","May|Jun|Sep|Oct",11-28°C,8,8
Budapest,Hungary,Europe,800,mild,"culture|thermal_baths|nightlife|history|food","Apr|May|Sep|Oct",-1-27°C,8,8
Copenhagen,Denmark,Europe,1800,cool,"culture|biking|food|design|museums","May|Jun|Jul|Aug",0-21°C,7,9
Osaka,Japan,Asia,1600,mild,"food|shopping|culture|nightlife|temples","Mar|Apr|Oct|Nov",5-30°C,8,9
Hanoi,Vietnam,Asia,700,tropical,"culture|food|history|temples|lakes","Oct|Nov|Mar|Apr",15-35°C,8,7
Kuala Lumpur,Malaysia,Asia,900,tropical,"food|shopping|culture|nightlife|temples","May|Jun|Jul|Feb",24-33°C,8,8
Ho Chi Minh City,Vietnam,Asia,750,tropical,"food|history|culture|shopping|nightlife","Dec|Jan|Feb|Mar|Apr",21-35°C,7,7
Chiang Mai,Thailand,Asia,650,tropical,"temples|nature|food|culture|trekking","Nov|Dec|Jan|Feb",15-35°C,8,8
Manila,Philippines,Asia,850,tropical,"food|shopping|nightlife|culture|beaches","Dec|Jan|Feb|Mar|Apr",24-33°C,7,6
Mumbai,India,Asia,950,tropical,"culture|food|history|shopping|nightlife","Nov|Dec|Jan|Feb",18-35°C,7,6
Delhi,India,Asia,900,hot,"history|culture|food|shopping|temples","Oct|Nov|Feb|Mar",7-40°C,8,6
Istanbul,Turkey,Europe,950,mild,"culture|history|food|shopping|architecture","Apr|May|Sep|Oct",5-28°C,9,7
Athens,Greece,Europe,950,warm,"history|culture|food|museums|ruins","Apr|May|Sep|Oct",8-32°C,8,7
Madrid,Spain,Europe,1100,warm,"culture|food|museums|nightlife|shopping","Apr|May|Jun|Sep|Oct",5-32°C,8,8
Berlin,Germany,Europe,1200,mild,"culture|history|nightlife|museums|food","May|Jun|Jul|Aug|Sep",0-25°C,8,9
Vienna,Austria,Europe,1300,mild,"culture|music|museums|food|architecture","Apr|May|Jun|Sep",0-26°C,8,9
London,England,Europe,1900,cool,"culture|museums|food|shopping|history","May|Jun|Jul|Aug|Sep",3-23°C,9,8
Florence,Italy,Europe,1300,warm,"art|culture|food|history|architecture","Apr|May|Jun|Sep|Oct",5-31°C,9,8
Venice,Italy,Europe,1500,warm,"culture|canals|food|architecture|romance","Apr|May|Jun|Sep|Oct",3-28°C,9,7
Stockholm,Sweden,Europe,1600,cool,"culture|museums|design|food|islands","Jun|Jul|Aug|Sep",0-22°C,7,9
Oslo,Norway,Europe,1700,cool,"nature|fjords|museums|hiking|skiing","Jun|Jul|Aug|Dec|Jan",-4-22°C,7,9
Helsinki,Finland,Europe,1500,cool,"culture|design|food|sauna|nature","Jun|Jul|Aug",-5-21°C,6,9
Krakow,Poland,Europe,850,mild,"history|culture|food|nightlife|architecture","May|Jun|Jul|Aug|Sep",-2-24°C,7,9
Seville,Spain,Europe,1050,hot,"culture|food|flamenco|history|architecture","Mar|Apr|May|Oct|Nov",8-36°C,8,8
Porto,Portugal,Europe,950,mild,"wine|food|culture|beaches|history","May|Jun|Jul|Aug|Sep",9-27°C,8,8
Dublin,Ireland,Europe,1400,cool,"culture|food|pubs|history|music","Jun|Jul|Aug|Sep",4-20°C,7,9
Brussels,Belgium,Europe,1250,cool,"food|culture|beer|museums|chocolate","Apr|May|Jun|Sep",2-23°C,7,9
Nice,France,Europe,1400,warm,"beach|food|culture|art|relaxation","May|Jun|Jul|Aug|Sep",8-27°C,7,8
Zurich,Switzerland,Europe,2100,mild,"nature|culture|food|shopping|lakes","Jun|Jul|Aug|Sep",0-24°C,7,9
San Francisco,USA,North America,2100,mild,"culture|food|nature|technology|beaches","Sep|Oct|Apr|May",10-21°C,8,8
Los Angeles,USA,North America,1900,warm,"beach|entertainment|food|shopping|nightlife","Apr|May|Jun|Sep|Oct",14-28°C,9,7
Las Vegas,USA,North America,1300,hot,"entertainment|nightlife|shows|casinos|food","Mar|Apr|Oct|Nov",5-40°C,9,7
Miami,USA,North America,1600,tropical,"beach|nightlife|food|culture|art","Dec|Jan|Feb|Mar|Apr",18-32°C,8,7
Chicago,USA,North America,1500,mild,"culture|food|museums|architecture|nightlife","May|Jun|Jul|Aug|Sep",-6-29°C,8,7
Boston,USA,North America,1700,mild,"history|culture|food|education|museums","May|Jun|Sep|Oct",-2-28°C,7,8
Seattle,USA,North America,1650,cool,"food|coffee|nature|culture|technology","Jul|Aug|Sep",5-24°C,7,8
Portland,USA,North America,1550,mild,"food|beer|nature|culture|hiking","Jun|Jul|Aug|Sep",4-27°C,7,8
Austin,USA,North America,1400,warm,"music|food|nightlife|culture|nature","Mar|Apr|May|Sep|Oct",8-35°C,8,7
Nashville,USA,North America,1350,mild,"music|food|nightlife|culture|history","Apr|May|Sep|Oct",0-32°C,8,7
Washington DC,USA,North America,1650,mild,"history|museums|culture|monuments|food","Apr|May|Sep|Oct",0-31°C,8,7
San Diego,USA,North America,1750,warm,"beach|surfing|food|culture|nature","Apr|May|Jun|Sep|Oct",13-25°C,8,8
Mexico City,Mexico,North America,950,mild,"culture|food|museums|history|art","Oct|Nov|Mar|Apr",12-26°C,8,6
Tulum,Mexico,North America,1400,tropical,"beach|ruins|yoga|nature|relaxation","Nov|Dec|Jan|Feb|Mar",23-32°C,8,6
Playa del Carmen,Mexico,North America,1200,tropical,"beach|diving|nightlife|food|relaxation","Nov|Dec|Jan|Feb|Mar|Apr",23-32°C,8,6
San Jose,Costa Rica,Central America,1150,tropical,"nature|adventure|food|culture|wildlife","Dec|Jan|Feb|Mar|Apr",18-28°C,7,7
Lima,Peru,South America,1000,mild,"food|culture|history|surfing|nightlife","Dec|Jan|Feb|Mar|Apr",15-28°C,7,6
Cusco,Peru,South America,950,cool,"history|culture|trekking|ruins|adventure","May|Jun|Jul|Aug|Sep",5-20°C,8,7
Santiago,Chile,South America,1050,mild,"food|wine|culture|skiing|mountains","Oct|Nov|Dec|Mar|Apr",3-30°C,7,7
Montevideo,Uruguay,South America,1100,mild,"culture|food|beaches|history|tango","Nov|Dec|Jan|Feb|Mar",8-28°C,6,8
Cartagena,Colombia,South America,1050,tropical,"beach|history|culture|food|nightlife","Dec|Jan|Feb|Mar",24-32°C,8,6
Medellin,Colombia,South America,900,tropical,"culture|food|nightlife|nature|adventure","Dec|Jan|Feb|Jul|Aug",16-28°C,7,6
Quito,Ecuador,South America,850,mild,"culture|history|nature|adventure|food","Jun|Jul|Aug|Sep",8-22°C,7,7
La Paz,Bolivia,South America,750,cool,"culture|adventure|history|nature|trekking","May|Jun|Jul|Aug",0-18°C,6,6
Nairobi,Kenya,Africa,1000,mild,"safari|culture|nature|wildlife|adventure","Jan|Feb|Jun|Jul|Aug|Sep",10-26°C,7,6
Zanzibar,Tanzania,Africa,1100,tropical,"beach|diving|culture|relaxation|spices","Jun|Jul|Aug|Sep|Oct|Jan|Feb",22-32°C,7,7
Casablanca,Morocco,Africa,950,mild,"culture|food|architecture|history|beaches","Apr|May|Jun|Sep|Oct",10-28°C,6,7
Tunis,Tunisia,Africa,800,warm,"history|culture|beaches|ruins|food","Apr|May|Jun|Sep|Oct",8-33°C,6,7
Johannesburg,South Africa,Africa,1050,mild,"culture|history|safari|shopping|nightlife","Sep|Oct|Nov|Mar|Apr",6-26°C,7,6
Victoria Falls,Zimbabwe,Africa,1150,tropical,"nature|adventure|waterfalls|safari|wildlife","Apr|May|Jun|Jul|Aug|Sep",15-30°C,7,6
Melbourne,Australia,Oceania,1900,mild,"culture|food|coffee|sports|art","Sep|Oct|Nov|Mar|Apr",10-25°C,8,9
Brisbane,Australia,Oceania,1750,warm,"beach|nature|food|culture|adventure","Apr|May|Jun|Sep|Oct",12-29°C,7,9
Perth,Australia,Oceania,1850,warm,"beach|nature|food|wine|relaxation","Sep|Oct|Nov|Mar|Apr",13-30°C,7,9
Wellington,New Zealand,Oceania,1700,cool,"culture|food|nature|museums|hiking","Dec|Jan|Feb|Mar",8-20°C,6,9
Fiji,Fiji,Oceania,1650,tropical,"beach|diving|relaxation|culture|adventure","May|Jun|Jul|Aug|Sep|Oct",20-31°C,8,8
Phuket,Thailand,Asia,950,tropical,"beach|nightlife|diving|food|relaxation","Nov|Dec|Jan|Feb|Mar",24-33°C,9,7
Krabi,Thailand,Asia,900,tropical,"beach|nature|climbing|islands|relaxation","Nov|Dec|Jan|Feb|Mar",24-33°C,8,7
Siem Reap,Cambodia,Asia,700,tropical,"temples|history|culture|food|adventure","Nov|Dec|Jan|Feb",22-35°C,8,7
Luang Prabang,Laos,Asia,650,tropical,"temples|culture|nature|waterfalls|food","Nov|Dec|Jan|Feb",15-35°C,6,8
Yangon,Myanmar,Asia,750,tropical,"temples|culture|history|food|markets","Nov|Dec|Jan|Feb",18-36°C,6,6
Colombo,Sri Lanka,Asia,850,tropical,"culture|food|beaches|history|temples","Jan|Feb|Mar|Jul|Aug",24-31°C,7,7
Maldives,Maldives,Asia,2500,tropical,"beach|diving|luxury|relaxation|romance","Nov|Dec|Jan|Feb|Mar|Apr",25-31°C,9,9
Big Sky,USA,North America,1600,cold,"skiing|nature|hiking|adventure|relaxation","Dec|Jan|Feb|Jul|Aug",-15-25°C,6,9
Okinawa,Japan,Asia,1500,subtropical,"beach|culture|diving|food|relaxation","Apr|May|Jun|Sep|Oct",15-30°C,7,9
Sardinia,Italy,Europe,1350,warm,"beach|food|nature|history|hiking","May|Jun|Jul|Aug|Sep",10-30°C,7,8
Kanazawa,Japan,Asia,1400,mild,"culture|gardens|food|history|crafts","Apr|May|Jun|Sep|Oct",3-30°C,7,9